"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","84.375","22.3243999481201","315","27.594","8.47699999999998","0","1.19277955964857","0.40338582630459","17.27988912",
"1/2/1979","84.375","22.3243999481201","315","27.104","8.209","0","1.5257287856509","0.400541811863951","17.2276848",
"1/3/1979","84.375","22.3243999481201","315","27.768","8.34300000000002","0","1.28861858255379","0.402152421973096","17.0724348",
"1/4/1979","84.375","22.3243999481201","315","26.685","10.624","0","1.37263067669474","0.482881924539704","13.00219056",
"1/5/1979","84.375","22.3243999481201","315","26.839","11.259","0","2.07527633294549","0.517864524814042","17.00994708",
"1/6/1979","84.375","22.3243999481201","315","24.913","9.75400000000002","0","2.22412805836249","0.425241494490035","17.57390616",
"1/7/1979","84.375","22.3243999481201","315","26.588","8.642","0","1.64455337996476","0.484048236181351","17.39706012",
"1/8/1979","84.375","22.3243999481201","315","26.932","9.48200000000003","0","1.33319266080224","0.49360281836944","17.48306268",
"1/9/1979","84.375","22.3243999481201","315","27.247","9.72800000000001","0","1.80081074839586","0.42468420092328","17.44829856",
"1/10/1979","84.375","22.3243999481201","315","27.447","9.72399999999999","0","1.37887408924605","0.524779003048414","17.28506052",
"1/11/1979","84.375","22.3243999481201","315","28.452","10.666","0","1.29329270393706","0.575012635170666","17.50319712",
"1/12/1979","84.375","22.3243999481201","315","27.998","8.72399999999999","0","1.4730054390076","0.446223496493984","17.9342424",
"1/13/1979","84.375","22.3243999481201","315","27.859","9.13299999999998","0","1.5138197280614","0.473845849939959","17.92444968",
"1/14/1979","84.375","22.3243999481201","315","28.624","8.267","0","1.59129813583661","0.500620104167227","17.6844348",
"1/15/1979","84.375","22.3243999481201","315","28.817","9.85899999999998","0","1.20163784945788","0.522626991458432","17.5324536",
"1/16/1979","84.375","22.3243999481201","315","27.679","12.11","0","2.00749013053742","0.487371142411993","17.434458",
"1/17/1979","84.375","22.3243999481201","315","26.409","11.344","0","2.02116462890367","0.638316931465595","13.08915",
"1/18/1979","84.375","22.3243999481201","315","27.379","15.347","0","1.66042319531495","0.663674393459357","11.0353545",
"1/19/1979","84.375","22.3243999481201","315","28.535","13.604","0","2.61891299161562","0.578378172182208","17.49616488",
"1/20/1979","84.375","22.3243999481201","315","28.831","13.676","0","2.20623219911088","0.606410646338408","17.11513188",
"1/21/1979","84.375","22.3243999481201","315","28.257","17.531","0","2.24270953714724","0.599822218231156","11.48428656",
"1/22/1979","84.375","22.3243999481201","315","21.688","16.09","0.66261348","1.91216375661246","0.768542033670588","3.01893498",
"1/23/1979","84.375","22.3243999481201","315","27.883","15.652","2.971462104","1.99910360196661","0.71945723100797","15.52701924",
"1/24/1979","84.375","22.3243999481201","315","29.329","14.935","0.022315968","1.75896003554431","0.680318348893577","15.36417882",
"1/25/1979","84.375","22.3243999481201","315","25.689","5.04300000000001","0.0360488664","2.22170245030328","0.78384198975905","17.08278669",
"1/26/1979","84.375","22.3243999481201","315","25.026","3.928","0","1.72497988618307","0.792805724159888","18.48735",
"1/27/1979","84.375","22.3243999481201","315","29.445","4.95600000000002","0","1.20176683613388","0.554870161385521","18.51199488",
"1/28/1979","84.375","22.3243999481201","315","26.743","12.808","0","1.85540887364784","0.43368477001974","10.40377275",
"1/29/1979","84.375","22.3243999481201","315","27.349","14.903","0","2.31870421580741","0.629624599849224","10.68474195",
"1/30/1979","84.375","22.3243999481201","315","29.672","15.834","0.0240325992","2.0168315895488","0.595654408771373","15.86576214",
"1/31/1979","84.375","22.3243999481201","315","30.425","14.78","0","2.00322120761875","0.562959777271692","18.57003975",
"2/1/1979","84.375","22.3243999481201","315","29.282","17.924","0.87890616","2.86829561184753","0.601802053331989","12.60353952",
"2/2/1979","84.375","22.3243999481201","315","24.954","14.692","0.2145767544","2.80155138568963","0.720124216353543","13.69259379",
"2/3/1979","84.375","22.3243999481201","315","26.742","13.883","0","1.99773025438952","0.483713214744807","19.70786133",
"2/4/1979","84.375","22.3243999481201","315","25.463","8.84199999999998","0","1.90376098570139","0.400046868811718","19.959582168",
"2/5/1979","84.375","22.3243999481201","315","26.416","8.20600000000002","0","1.5134748210194","0.374075816128216","20.289769848",
"2/6/1979","84.375","22.3243999481201","315","28.491","12.47","0","1.50088234788995","0.366928724985498","19.619610282",
"2/7/1979","84.375","22.3243999481201","315","26.228","12.384","9.57698964","2.46345358694805","0.598864523317893","9.30465063",
"2/8/1979","84.375","22.3243999481201","315","25.57","15.216","1.2754426104","1.60961248257598","0.668778349067829","18.29232927",
"2/9/1979","84.375","22.3243999481201","315","25.111","12.361","0","2.19456455391846","0.564761636803346","19.976288832",
"2/10/1979","84.375","22.3243999481201","315","25.879","11.207","0","1.78549022543893","0.483986802238236","20.40474303",
"2/11/1979","84.375","22.3243999481201","315","26.41","10.721","0","1.98131070522352","0.466697230931258","20.288365218",
"2/12/1979","84.375","22.3243999481201","315","27.206","11.528","0","2.02305379766417","0.393296415828057","20.67587595",
"2/13/1979","84.375","22.3243999481201","315","29.681","12.117","0","1.50099285021695","0.374576940565765","20.686215132",
"2/14/1979","84.375","22.3243999481201","315","29.828","13.517","0","2.05450505970291","0.336601812333384","20.783421",
"2/15/1979","84.375","22.3243999481201","315","29.262","12.165","0","2.02740418209458","0.382207962779281","20.732169348",
"2/16/1979","84.375","22.3243999481201","315","31.266","14.369","0","1.55446349896725","0.431851998200225","19.405014912",
"2/17/1979","84.375","22.3243999481201","315","30.466","18.02","0","2.40284806231152","0.452853618490024","18.172294668",
"2/18/1979","84.375","22.3243999481201","315","33.478","19.481","0","1.42624266977846","0.432128169048909","19.15548516",
"2/19/1979","84.375","22.3243999481201","315","31.09","17.767","0","2.57586271195025","0.449912130309107","17.643262428",
"2/20/1979","84.375","22.3243999481201","315","31.421","19.082","0.0034332264","2.28562616271018","0.425500963418689","21.36706605",
"2/21/1979","84.375","22.3243999481201","315","30.608","16.493","0","3.51000238159993","0.321602001990479","21.738433464",
"2/22/1979","84.375","22.3243999481201","315","29.729","10.205","0","2.20522281049261","0.282646467578547","22.354482744",
"2/23/1979","84.375","22.3243999481201","315","32.109","11.859","0","2.00291947417396","0.256286723640868","22.216608504",
"2/24/1979","84.375","22.3243999481201","315","31.088","13.006","0","3.01352569460213","0.283340152257307","21.740904882",
"2/25/1979","84.375","22.3243999481201","315","31.971","16.39","0","2.45631553707241","0.307283540421997","21.400765038",
